         31394 function calls (31360 primitive calls) in 99.534 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:672(exec_module)
        1    0.000    0.000    0.000    0.000 {built-in method _gdal.Dataset_GetRasterBand}
        1    0.000    0.000    0.000    0.000 __init__.py:261(to_gdal)
        5    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      8/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
       21    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:664(_load)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:919(create_module)
        6    0.000    0.000    0.000    0.000 os.py:732(encodekey)
        1    0.000    0.000    0.000    0.000 ntpath.py:199(split)
        1    0.000    0.000    0.000    0.000 gdal.py:1822(GetRasterBand)
        1    0.000    0.000    0.000    0.000 {built-in method _gdal.MajorObject_GetMetadataItem}
        4    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      2/1    0.000    0.000    0.003    0.003 {built-in method builtins.__import__}
        4    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        6    0.000    0.000    0.000    0.000 threading.py:1230(current_thread)
        1    0.000    0.000    0.000    0.000 Bobs.py:44(__init__)
        3    0.000    0.000    0.000    0.000 arrayprint.py:702(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 __init__.py:250(__str__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:153(__exit__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 imp.py:219(load_module)
        1    0.000    0.000    0.000    0.000 dtypes.py:165(validate_dtype)
        1    0.000    0.000    0.000    0.000 __init__.py:166(translation)
        2    0.000    0.000    0.000    0.000 gdal_array.py:194(flip_code)
        1    0.000    0.000    0.000    0.000 {built-in method _gdal.Dataset_GetGeoTransform}
        1    0.000    0.000    0.004    0.004 gdal.py:2264(GetNoDataValue)
       14    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(cached)
        1    0.000    0.000    0.000    0.000 imp.py:105(get_suffixes)
        1    0.000    0.000    0.000    0.000 function_base.py:4951(append)
        1    0.000    0.000    1.718    1.718 gdal_array.py:141(BandRasterIONumPy)
       15    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
