Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..py:248 MultiprocessingEngine.split  1      0.000000  0.000000  0.000000
..ing\__init__.py:1439 Logger.handle  1      0.000000  0.000000  0.000000
..27 ExtensionFileLoader.exec_module  2      0.000000  0.000000  0.000000
..:1062 Thread._wait_for_tstate_lock  475    0.000000  0.000000  0.000000
..tiprocessing\queues.py:10 <module>  1      0.000000  0.000000  0.000000
..xt.py:109 SpawnContext.SimpleQueue  2      0.000000  0.000000  0.000000
..cessing\managers.py:96 RemoteError  4      0.000000  0.000000  0.000000
..\threading.py:1104 Thread.is_alive  471    0.000000  0.000000  0.000000
..essing\managers.py:1073 ValueProxy  1      0.000000  0.000000  0.000000
..l>:840 SourceFileLoader.path_stats  8      0.000000  0.000000  0.000000
..st\bobs\Bobs.py:23 Raster.__init__  1      0.000000  0.000000  0.000000
..ap>:304 _installed_safely.__exit__  10     0.000000  0.000000  0.000000
..tion.py:936 reduce_pipe_connection  17     0.000000  0.000000  0.000000
..aconda3\lib\hmac.py:90 HMAC.update  28     0.000000  0.000000  0.000000
..onda3\lib\copyreg.py:96 _slotnames  5      0.000000  0.000000  0.000000
..lection.py:420 Collection.__exit__  1      0.000000  0.000000  0.000000
..:196 SpawnContext.get_start_method  2      0.000000  0.000000  0.000000
..ocessing\synchronize.py:47 SemLock  1      0.000000  0.000000  0.000000
..b\threading.py:757 Thread.__init__  3      0.000000  0.000000  0.000000
..rocess.py:71 SpawnProcess.__init__  5      0.000000  0.000000  0.000000
..bootstrap_external>:63 _path_split  16     0.000000  0.000000  0.000000
..\lib\threading.py:506 Event.is_set  482    0.000000  0.000000  0.000000
..48 DefaultContext.get_start_method  5      0.000000  0.000000  0.000000
..conda3\lib\hmac.py:117 HMAC.digest  20     0.000000  0.000000  0.000000
..ultiprocessing\pool.py:10 <module>  1      0.000000  0.000000  0.000000
..9 Dataset._swig_setattr_nondynamic  2      0.000000  0.000000  0.000000
..gging\__init__.py:1414 Logger._log  1      0.000000  0.000000  0.000000
..ernal>:524 spec_from_file_location  9      0.000000  0.000000  0.000000
..aconda3\lib\tempfile.py:88 _exists  3      0.000000  0.000000  0.000000
..naconda3\lib\imp.py:108 <listcomp>  1      0.000000  0.000000  0.000000
..iprocessing\connection.py:520 Pipe  3      0.000000  0.000000  0.000000
..:332 PipeConnection._get_more_data  6      0.000000  0.000000  0.000000
..ile.py:146 _RandomNameSequence.rng  5      0.000000  0.000000  0.000000
..tiprocessing\pool.py:507 Pool.join  1      0.000000  0.000000  0.000000
..bootstrap>:57 _ModuleLock.__init__  10     0.000000  0.000000  0.000000
..aconda3\lib\ntpath.py:222 splitext  1      0.000000  0.000000  0.000000
..sing\synchronize.py:115 _make_name  2      0.000000  0.000000  0.000000
..naconda3\lib\imp.py:109 <listcomp>  1      0.000000  0.000000  0.000000
.._.py:1523 Logger.getEffectiveLevel  5      0.000000  0.000000  0.000000
..init__.py:1493 Logger.callHandlers  1      0.000000  0.000000  0.000000
..rocessing\connection.py:478 Client  10     0.000000  0.000000  0.000000
..:825 SourceFileLoader.get_filename  8      0.000000  0.000000  0.000000
..itives.py:102 AveragePrim.__call__  1      0.000000  0.000000  0.000000
..rocess.py:161 _MainProcess.authkey  6      0.000000  0.000000  0.000000
..nda3\lib\_weakrefset.py:38 _remove  8      0.000000  0.000000  0.000000
..tion.py:38 ForkingPickler.__init__  35     0.000000  0.000000  0.000000
..nda3\lib\hashlib.py:138 __hash_new  40     0.000000  0.000000  0.000000
..ing\pool.py:516 _help_stuff_finish  1      0.000000  0.000000  0.000000
..ging\__init__.py:1279 Logger.debug  4      0.000000  0.000000  0.000000
..\context.py:349 set_spawning_popen  10     0.000000  0.000000  0.000000
..anagers.py:549 SyncManager._create  2      0.000000  0.000000  0.000000
..onda3\lib\genericpath.py:27 isfile  3      0.000000  0.000000  0.000000
..g\process.py:141 SpawnProcess.name  5      0.000000  0.000000  0.000000
..ltiprocessing\managers.py:51 Token  2      0.000000  0.000000  0.000000
..aconda3\lib\ntpath.py:471 normpath  1      0.000000  0.000000  0.000000
..ib\threading.py:1136 Thread.daemon  3      0.000000  0.000000  0.000000
..ootstrap_external>:361 _get_cached  9      0.000000  0.000000  0.000000
..tiprocessing\managers.py:950 Value  1      0.000000  0.000000  0.000000
..ives\Primitive.py:47 run_primitive  1      0.000000  0.000000  0.000000
..encodings\cp1252.py:33 getregentry  1      0.000000  0.000000  0.000000
..>:908 ExtensionFileLoader.__init__  2      0.000000  0.000000  0.000000
..o\gdal.py:58 Dataset._swig_setattr  2      0.000000  0.000000  0.000000
..sing\connection.py:95 address_type  10     0.000000  0.000000  0.000000
..\pool.py:730 IMapUnorderedIterator  1      0.000000  0.000000  0.000000
..m.py:298 OutStream._schedule_flush  464    0.000000  0.000000  0.000000
..y:157 _RandomNameSequence.__next__  5      0.000000  0.000000  0.000000
..nal>:830 SourceFileLoader.get_data  8      0.000000  0.000000  0.000000
..reading.py:239 Condition.__enter__  10     0.000000  0.000000  0.000000
.. ExtensionFileLoader.create_module  2      0.000000  0.000000  0.000000
..s_abc.py:664 _Environ.__contains__  2      0.000000  0.000000  0.000000
..ap>:293 _installed_safely.__init__  10     0.000000  0.000000  0.000000
..es.py:55 AggregateSumPrim.__call__  1      0.000000  0.000000  0.000000
..essing\pool.py:335 Pool._map_async  1      0.000000  0.000000  0.000000
..context.py:114 DefaultContext.Pool  1      0.000000  0.000000  0.000000
..ssing\spawn.py:78 get_command_line  5      0.000000  0.000000  0.000000
..ection.py:417 Collection.__enter__  1      0.000000  0.000000  0.000000
..138 PipeConnection._check_readable  52     0.000000  0.000000  0.000000
..ing\context.py:352 assert_spawning  16     0.000000  0.000000  0.000000
..\threading.py:334 Condition.notify  5      0.000000  0.000000  0.000000
..xternal>:1233 FileFinder.find_spec  9      0.000000  0.000000  0.000000
..rap_external>:611 _search_registry  9      0.000000  0.000000  0.000000
..ocessing\pool.py:601 MapResult.get  1      0.000000  0.000000  0.000000
..ection.py:173 PipeConnection.close  6      0.000000  0.000000  0.000000
..ocessing\reduction.py:71 duplicate  8      0.000000  0.000000  0.000000
..y:173 Collection.guard_driver_mode  1      0.000000  0.000000  0.000000
..processing\managers.py:800 _decref  2      0.000000  0.000000  0.000000
..39 CommandChainDispatcher.__call__  2      0.000000  0.000000  0.000000
..t\bobs\Bob.py:21 KeyValue.__repr__  1      0.000000  0.000000  0.000000
..ing.py:248 Condition._release_save  7      0.000000  0.000000  0.000000
..ollection.py:223 Collection.filter  1      0.000000  0.000000  0.000000
..\__init__.py:43 normalize_encoding  1      0.000000  0.000000  0.000000
..g\managers.py:660 SyncManager.temp  2      0.000000  0.000000  0.000000
..\Anaconda3\lib\ntpath.py:199 split  3      0.000000  0.000000  0.000000
...py:251 Condition._acquire_restore  6      0.000000  0.000000  0.000000
..ynchronize.py:143 BoundedSemaphore  26     0.000000  0.000000  0.000000
..ollection.py:412 Collection.closed  1      0.000000  0.000000  0.000000
