Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..ap_external>:485 _compile_bytecode  2      0.000000  0.000000  0.000000
..nal>:430 _validate_bytecode_header  2      0.000000  0.000000  0.000000
..bootstrap>:57 _ModuleLock.__init__  4      0.000000  0.000000  0.000000
..xternal>:1228 FileFinder._get_spec  3      0.000000  0.000000  0.000000
..nal>:830 SourceFileLoader.get_data  2      0.000000  0.000000  0.000000
..urceFileLoader._check_name_wrapper  2      0.000000  0.000000  0.000000
..\arrayprint.py:237 _get_formatdict  3      0.000000  0.000000  0.000000
..9 Dataset._swig_setattr_nondynamic  2      0.000000  0.000000  0.000000
..669 SourceFileLoader.create_module  2      0.000000  0.000000  0.000000
..lib._bootstrap>:641 _load_unlocked  4/1    0.000000  0.000000  0.000000
..mportlib._bootstrap>:771 find_spec  3      0.000000  0.000000  0.000000
..p>:153 _ModuleLockManager.__exit__  4      0.000000  0.000000  0.000000
..t\bobs\Bob.py:21 KeyValue.__repr__  1      0.000000  0.000000  0.000000
..kages\affine\__init__.py:182 scale  1      0.000000  0.000000  0.000000
..gdal.py:1822 Dataset.GetRasterBand  1      0.000000  0.000000  0.000000
..conda3\lib\imp.py:105 get_suffixes  1      0.000000  0.000000  0.000000
..y:284 OutStream._is_master_process  2186   0.000000  0.000000  0.000000
..st\bobs\Bobs.py:44 Vector.__init__  1      0.000000  0.000000  0.000000
..naconda3\lib\imp.py:109 <listcomp>  1      0.000000  0.000000  0.000000
..\rasterio\env.py:171 Env.__enter__  1      0.000000  0.000000  0.000000
..es\numpy\core\_methods.py:25 _amax  1      0.000000  0.000000  0.000000
..ging\__init__.py:1284 Logger.debug  23     0.000000  0.000000  0.000000
..ib._bootstrap_external>:52 _r_long  4      0.000000  0.000000  0.000000
..bootstrap>:102 _ModuleLock.release  4      0.000000  0.000000  0.000000
..ream.py:87 IOPubThread._event_pipe  2295   0.000000  0.000000  0.000000
..ap_external>:85 _path_is_mode_type  3      0.000000  0.000000  0.000000
..naconda3\lib\imp.py:107 <listcomp>  1      0.000000  0.000000  0.000000
